0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
-0.20858462,0.39169085,-0.06441418,0.33383623,0.3350565,-0.5851496,-0.10894289,0.55963594,-0.60071534,0.08633491,-0.16994749,-0.1996033,0.2118839,0.36210763,0.53964365,-0.4441618,-0.0049966215,-0.1433543,-0.2282912,-0.5378174,0.044121135,-0.26202002,0.16468921,-0.9788536,-0.1081524,-0.28576943,-0.21034339,0.15001664,-0.36952674,0.1673848,0.5714034,-0.2631951,0.020971343,-0.15874027,0.18822844,0.07239249,-0.12776312,-0.5350201,0.0533816,-0.5126329,-0.102443226,-0.1091905,-0.50687873,0.06461492,0.33792815,0.21515293,0.022210822,-0.3500189,0.66164476,-0.074138746,0.27190706,-0.18936527,-0.19324075,0.18331689,-0.109535106,0.09401814,-0.3813942,-0.4142868,-0.26331806,0.118872225,0.24076065,0.33915567,0.14861286,0.01566028,-0.12023106,0.22482972,0.78794825,0.46368322,-0.8380657,0.56336886,-0.06731419,-0.2755824,0.091340944,-0.051067494,0.20313016,0.68626237,0.14111958,-0.18862644,-0.42799076,-0.048243217,-0.19983868,-0.23992805,-0.40868953,0.47147286,0.006126412,-0.21853611,0.5648918,0.0795472,0.8370169,0.41492,0.444557,0.07343391,-0.0069020432,-0.012379196,0.634107,0.2705442,-0.27472812,-0.12906562,0.089749366,-0.27129483
0.09635909,0.54870707,-0.15867065,0.46196085,0.436416,-0.62037915,-0.1423719,0.2807595,-0.7308105,0.2538024,-0.17409967,-0.25860488,0.4472508,0.27125886,0.7503221,-0.40083358,0.053183816,-0.30866647,-0.15578751,-0.68434274,0.05718352,-0.22519422,-0.032738395,-1.2407024,-0.18500197,-0.26665586,-0.23626693,0.22439204,-0.41512707,0.18030745,0.71163636,-0.1975965,0.13166003,-0.45025942,-0.007942884,0.03959852,-0.050781347,-0.49910814,-0.28659058,-0.54788077,-0.18797213,-0.094829015,-0.37257627,-0.102059126,0.33264023,0.023545548,0.24801546,-0.5407792,0.64707005,-0.013056346,0.12632754,-0.15398483,-0.29773834,0.3240325,-0.06529831,-0.10321413,-0.90160793,-0.57490265,-0.31770417,0.26844952,0.30957797,0.38249642,0.11481524,0.0879811,-0.04365657,0.059427418,0.8840678,0.43070528,-0.9685359,0.95552415,-0.03087904,-0.38361388,0.091897815,-0.17610842,0.27457684,0.7416574,0.24451476,-0.4261115,-0.5265132,0.019894429,-0.15801944,-0.40486178,-0.65113044,0.58098537,0.19174163,-0.39688748,0.53981423,0.3283857,0.9898541,0.42119098,0.4529087,0.042682674,-0.01966075,-0.111667424,0.41057262,0.36338693,-0.2954895,-0.039204255,0.21229145,-0.43012625
-0.20313588,0.5800217,-0.1915071,0.5161134,0.36976817,-0.6501623,-0.19176608,0.2919316,-0.807417,0.21723239,-0.10813207,-0.20401908,0.3392747,0.2548425,0.8100867,-0.39168957,0.04158788,-0.15799202,-0.34237581,-0.61911476,0.011640689,-0.28043002,0.0977104,-1.1316153,-0.086600095,-0.28025466,-0.25826856,0.282904,-0.41476995,0.24490017,0.7163222,-0.33197734,0.1586867,-0.4736006,0.2073043,0.12451163,-0.08871864,-0.5006543,-0.07711775,-0.494237,-0.119617544,-0.15721232,-0.39029625,0.019987084,0.25416747,0.040988486,0.28481883,-0.34984303,0.4205706,-0.10384066,0.33846173,-0.14558351,-0.4113755,0.4315988,0.051424842,-0.10838928,-0.77386534,-0.48509413,-0.37203074,0.13820764,0.20922194,0.2785441,0.20959659,0.09067241,-0.088083416,0.21498947,1.0431648,0.42702064,-1.0192126,0.97885174,-0.11194502,-0.2528864,0.10272493,-0.15616824,0.2834659,0.8019246,0.12649812,-0.3042109,-0.556656,-0.064274475,-0.2407737,-0.37189603,-0.59896076,0.62688655,0.11326735,-0.2836237,0.5696524,0.18837993,0.93349236,0.494888,0.50648075,0.08943508,-0.10343933,-0.22903131,0.6461218,0.38598508,-0.18305102,-0.106837936,0.13404223,-0.5040451
-0.08752892,0.39555654,-0.11871647,0.27208486,0.34449816,-0.4750082,-0.1919286,0.5147955,-0.5419032,0.16803047,-0.122836396,-0.15522183,0.16211914,0.2575568,0.6537405,-0.32950714,-0.043597296,-0.1598408,-0.1959439,-0.5949651,0.06983858,-0.25263223,0.14371198,-0.83022374,-0.19634083,-0.2375698,-0.20740348,0.13223931,-0.28679076,0.17809051,0.53963166,-0.29396915,0.1635679,-0.4602458,0.08901127,0.21687815,0.06857211,-0.39867145,-0.15946114,-0.48287532,0.009482369,-0.17903844,-0.392477,0.13189709,0.18917407,0.118029736,0.103586085,-0.31489086,0.45800006,-0.02659935,0.26767358,-0.33066002,-0.23783855,0.29635134,-0.19433577,-0.19612153,-0.42498368,-0.3040525,-0.36324915,0.085920736,0.31413525,0.36500722,0.14565778,0.028451443,-0.037426006,0.1707936,0.90278435,0.47785807,-0.8965519,0.78515774,-0.11785789,-0.07378058,0.06516242,-0.11360198,0.35763496,0.6053892,0.09987013,-0.13451919,-0.30518267,-0.051338,-0.2554748,-0.33100262,-0.46672213,0.3554589,0.07064009,-0.31754756,0.37986237,0.25001964,0.78532237,0.280768,0.5759705,0.11721352,-0.1001669,-0.16811347,0.6470157,0.29252085,-0.21879724,-0.15133372,0.12275953,-0.2727205
0.3073278,0.47232956,-0.20292524,0.42931864,0.46133697,-0.5905667,-0.14356019,0.28663996,-0.73569024,0.33258054,-0.1480764,-0.16225745,0.3593112,0.25548235,0.77642566,-0.3637611,0.01099359,-0.30319104,-0.23462534,-0.64963627,0.0042297523,-0.17930438,-0.06433546,-1.1412166,-0.23594393,-0.3668478,-0.23619749,0.33154726,-0.4300717,0.18280332,0.5900172,-0.28585538,0.27116737,-0.458073,0.08411718,0.07086875,-0.01171307,-0.6014195,-0.31288993,-0.5883171,-0.29959568,-0.03198071,-0.4605213,-0.053470466,0.2901644,0.009978309,0.2774409,-0.45154333,0.6035134,0.033521812,0.09240849,-0.23914298,-0.28537038,0.24116617,-0.08657253,-0.17255807,-0.96407264,-0.57021993,-0.2540548,0.3161268,0.373865,0.38090986,0.09429898,0.06381423,-0.14169535,0.16403916,1.0061817,0.5271496,-1.1709998,1.0975074,-0.05646699,-0.2888005,0.08938448,-0.26794085,0.30476034,0.7383162,0.36390606,-0.49534267,-0.51554286,-0.04428805,-0.2010918,-0.3654384,-0.71495855,0.64180356,0.17984383,-0.42413235,0.4786855,0.3546559,1.072675,0.36275062,0.5480338,0.048522945,-0.16817929,-0.073850684,0.4373557,0.3077999,-0.27786,-0.08532996,0.28371015,-0.50448
0.021333547,0.51015496,-0.17637372,0.44206217,0.39517385,-0.54004914,-0.182033,0.40954092,-0.6987092,0.17617711,-0.16886014,-0.23598875,0.26080447,0.33888337,0.6602423,-0.36551186,0.041443553,-0.22837551,-0.19583255,-0.6953314,0.16640343,-0.19016156,0.11809966,-1.0809007,-0.15357699,-0.28257564,-0.25164372,0.31838658,-0.28273064,0.25930303,0.58535045,-0.3546531,0.15065981,-0.43140334,0.09813285,0.1836594,0.043584283,-0.62334603,-0.15439144,-0.5360445,-0.05593063,-0.15466875,-0.4806297,0.058874685,0.27807692,0.10450833,0.23007956,-0.5031122,0.61487216,-0.057525013,0.30720463,-0.33771488,-0.29189745,0.29143625,-0.030313045,-0.17135957,-0.6831391,-0.47979572,-0.28710428,0.24269232,0.25344816,0.37071046,0.204289,0.052718733,-0.059352696,0.1643115,1.0178683,0.5840868,-1.0915319,1.0157498,-0.06865628,-0.33291963,0.12891807,-0.1268696,0.26913184,0.7648494,0.21645163,-0.2703791,-0.47302172,-0.03337095,-0.2809786,-0.3134088,-0.54385,0.48365638,0.13372162,-0.36487922,0.5873313,0.20091638,0.9682402,0.39679027,0.59227854,0.06718457,-0.17599347,-0.13821833,0.6605251,0.31069168,-0.2620446,-0.078836225,0.27996927,-0.38145256
-0.29529053,0.39136142,-0.110919885,0.3027635,0.3340489,-0.5099234,-0.15050249,0.61650294,-0.5927407,0.06856949,-0.054680616,-0.31548074,0.11247832,0.37146947,0.52481556,-0.40507114,-0.00019691163,-0.10390658,-0.16056533,-0.48189166,0.11682105,-0.25172856,0.17045441,-0.9212489,-0.03207584,-0.22398037,-0.15273693,0.14788158,-0.2898826,0.07232125,0.36238703,-0.27828792,0.0030845664,-0.12801783,0.2250154,0.1556049,-0.13455726,-0.4838437,0.04572582,-0.4372444,-0.03594516,-0.09771641,-0.49525878,0.19738768,0.26070046,0.27598453,-0.054070745,-0.23898654,0.57367694,-0.15628159,0.27879488,-0.24481273,-0.16700956,0.16346624,-0.04339279,0.061133537,-0.23888019,-0.3983876,-0.1809046,0.040121697,0.1560708,0.27653357,0.18065833,0.052528024,-0.22836186,0.3101768,0.6157406,0.5486498,-0.767602,0.4933165,-0.056445517,-0.19217642,0.13316718,0.07681339,0.17479825,0.5845605,0.07109733,-0.10331063,-0.33704868,-0.0876321,-0.28437936,-0.2023265,-0.35723972,0.46063673,0.016770449,-0.20654334,0.46189713,-0.020535357,0.8309405,0.30851284,0.4580321,0.106742814,-0.11018938,0.019813329,0.6244124,0.27431783,-0.34674788,-0.15222187,0.071692325,-0.28524804
-0.06429081,0.48681876,-0.095227435,0.5435488,0.42332396,-0.5157386,-0.18330428,0.3446914,-0.77096516,0.18101251,-0.16843016,-0.14515413,0.38154852,0.31108168,0.70426613,-0.34583482,-0.009552021,-0.16258787,-0.23468533,-0.57071185,0.03324728,-0.218234,0.124938436,-1.014739,-0.08745199,-0.3024593,-0.28435758,0.31614065,-0.35670847,0.3240791,0.66222733,-0.3713513,0.19471574,-0.43646774,0.14573915,0.12815507,-0.041539945,-0.66151947,-0.11270927,-0.5794303,-0.14626968,-0.20942505,-0.5632564,0.07828278,0.30130252,0.11708758,0.2316605,-0.44853956,0.5721649,-0.09401579,0.23731159,-0.2791487,-0.30644044,0.3543396,0.020036798,-0.04870711,-0.6807663,-0.47526848,-0.22206731,0.16204315,0.26452875,0.3010754,0.16254283,0.051592316,-0.026085032,0.19452885,0.92149013,0.5307512,-1.0405638,0.82982105,-0.043617126,-0.23809658,0.1550361,-0.09858955,0.27655324,0.715916,0.18224259,-0.32720128,-0.47564247,-0.01065808,-0.2494071,-0.2868227,-0.59712833,0.5174268,0.059138387,-0.26271203,0.5100094,0.18230453,1.0254372,0.52897924,0.46481025,0.07821098,-0.10181781,-0.17187637,0.53187823,0.30886063,-0.26038185,-0.19676128,0.17753118,-0.39296398
-0.042805765,0.5815751,-0.09881917,0.43544558,0.35698524,-0.61836624,-0.099630855,0.4479622,-0.6769135,0.18654458,-0.108849995,-0.19841042,0.2828461,0.19906883,0.56597346,-0.46404976,0.05361375,-0.25753504,-0.16395497,-0.55811775,0.1621218,-0.10607949,0.25309756,-1.1150969,-0.11672768,-0.18392134,-0.22057813,0.22687197,-0.2804914,0.23358797,0.56661826,-0.3448248,0.1417532,-0.25862503,0.16223639,0.15182033,-0.107348904,-0.5155412,-0.015930828,-0.53888565,-0.10551381,-0.16801089,-0.3945833,0.05676457,0.24789378,0.20401132,0.12006755,-0.46828848,0.49242318,-0.13305122,0.34656158,-0.1662648,-0.2956364,0.22752453,0.052982047,-0.0406971,-0.5587379,-0.44617817,-0.25892332,0.13856792,0.16813098,0.2984438,0.2175476,0.078422904,-0.05585296,0.23259206,0.8321502,0.47957525,-0.94462,0.7528932,-0.13790496,-0.3387584,0.14784582,0.011056468,0.19804923,0.6786302,0.1312523,-0.27129897,-0.39266708,-0.050385684,-0.18570739,-0.22326647,-0.49685743,0.45908964,0.06419733,-0.38167486,0.581811,0.17232022,0.90433306,0.38037908,0.45237276,0.04938191,-0.11098608,-0.067069955,0.5658768,0.29105347,-0.27914256,-0.011812667,0.19127148,-0.4229362
-0.059111252,0.5876897,-0.10115372,0.55141115,0.27926773,-0.56270045,-0.08943286,0.2024739,-0.8053674,0.26882207,-0.22924922,-0.19227919,0.45243677,0.139876,0.7113267,-0.41403478,0.05941431,-0.24629664,-0.21981305,-0.66058415,0.024164665,-0.09375058,0.22353175,-1.1021074,-0.002468033,-0.20003058,-0.24930169,0.31893894,-0.33411387,0.34778962,0.7352511,-0.38086107,0.14642552,-0.37540764,0.16341648,0.031616185,-0.10901724,-0.6127441,-0.030468807,-0.5275521,-0.20324157,-0.15667605,-0.49101034,-0.038185805,0.19926135,0.13702928,0.29677063,-0.45660225,0.45041773,-0.13190022,0.30208212,-0.14772059,-0.42334253,0.29539156,0.11605528,0.05387686,-0.78796464,-0.57226604,-0.27848595,0.13880254,0.16968203,0.28089052,0.21982333,0.08071271,0.050087854,0.20830692,1.0857031,0.504701,-1.0980856,0.79362,-0.053909816,-0.2852958,0.16357435,-0.03380246,0.19575065,0.8734431,0.11766569,-0.39346793,-0.5281392,-0.022373453,-0.14626265,-0.32968888,-0.47036192,0.5467528,0.11772036,-0.38493985,0.6106821,0.21781877,1.0057822,0.47296372,0.47883216,0.07042702,-0.060121775,-0.19160604,0.5476176,0.37720945,-0.23821445,-0.015723024,0.28392863,-0.5364813
